Time,Open,High,Low,Close,Volume
"Jan 31, 2020",208.0,208.0,198.0,198.0,8.55M
"Jan 30, 2020",212.0,214.0,204.0,206.0,6.71M
"Jan 29, 2020",212.0,216.0,208.0,210.0,12.36M
"Jan 28, 2020",212.0,216.0,208.0,212.0,7.25M
"Jan 27, 2020",212.0,216.0,210.0,212.0,9.69M
"Jan 24, 2020",212.0,218.0,212.0,212.0,3.27M
"Jan 23, 2020",212.0,216.0,210.0,212.0,6.54M
"Jan 22, 2020",218.0,220.0,212.0,212.0,4.81M
"Jan 21, 2020",230.0,230.0,218.0,218.0,21.39M
"Jan 20, 2020",238.0,238.0,230.0,230.0,3.47M
"Jan 17, 2020",236.0,240.0,232.0,234.0,8.42M
"Jan 16, 2020",242.0,242.0,234.0,236.0,9.47M
"Jan 15, 2020",246.0,246.0,240.0,242.0,5.06M
"Jan 14, 2020",246.0,250.0,244.0,246.0,16.78M
"Jan 13, 2020",236.0,248.0,232.0,246.0,27.44M
"Jan 10, 2020",234.0,236.0,232.0,234.0,13.40M
"Jan 09, 2020",232.0,236.0,230.0,234.0,4.49M
"Jan 08, 2020",236.0,236.0,230.0,232.0,2.50M
"Jan 07, 2020",236.0,238.0,232.0,236.0,3.34M
"Jan 06, 2020",236.0,236.0,232.0,234.0,3.25M
"Jan 03, 2020",238.0,240.0,236.0,236.0,15.82M
"Jan 02, 2020",238.0,240.0,236.0,238.0,3.32M
